asset,test_start,test_end,train_n,test_n,rv_col,rv_pct,regime_threshold,lr_params,rf_params,xgb_params
SPY,2015-01-01,2015-03-31,2497,61,rv_20d,70,0.1720821289587046,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2015-04-01,2015-06-30,2558,63,rv_20d,70,0.17080669381843214,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2015-07-01,2015-09-30,2621,64,rv_20d,70,0.1684064914531894,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2015-10-01,2015-12-31,2685,64,rv_20d,70,0.1695152906013356,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2016-01-01,2016-03-31,2749,61,rv_20d,70,0.1697084458115229,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2016-04-01,2016-06-30,2810,64,rv_20d,70,0.1723906148984738,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2016-07-01,2016-09-30,2874,64,rv_20d,70,0.17082975823113256,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2016-10-01,2016-12-31,2938,63,rv_20d,70,0.17062201185933146,{'C': 10.0},"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
SPY,2017-01-01,2017-03-31,3001,62,rv_20d,70,0.16839833679075872,{'C': 0.01},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2017-04-01,2017-06-30,3063,63,rv_20d,70,0.16729191172349314,{'C': 0.01},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2017-07-01,2017-09-30,3126,63,rv_20d,70,0.16544624148484816,{'C': 0.01},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2017-10-01,2017-12-31,3189,63,rv_20d,70,0.16367663303031302,{'C': 0.01},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2018-01-01,2018-03-31,3252,61,rv_20d,70,0.16201351780360732,{'C': 0.1},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2018-04-01,2018-06-30,3313,64,rv_20d,70,0.1629583956014484,{'C': 0.1},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2018-07-01,2018-09-30,3377,63,rv_20d,70,0.16300033217944607,{'C': 0.1},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
SPY,2018-10-01,2018-12-31,3440,63,rv_20d,70,0.16123461945496784,{'C': 0.1},"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
